,Area Name,Total/ Rural/Urban,Age-group,Total disabled population - Persons,Total disabled population - Males,Total disabled population - Females,Main worker - Persons,Main worker - Males,Main worker - Females,Non-worker - Persons,Non-worker - Males,Non-worker - Females
83,HIMACHAL PRADESH,Rural,Age not stated,3.35633116307988e-07,4,0.5555555555555556,2,0.1111111111111111,0.1111111111111111,6,0.2222222222222222,0.4444444444444444
84,HIMACHAL PRADESH,Rural,0-14,1.4991612528423463e-05,219,0.4552238805970149,1,0.0024875621890547263,0.0,389,0.527363184079602,0.44029850746268656
85,HIMACHAL PRADESH,Rural,15-59,0.00013712477429605243,2207,0.3997824313298885,555,0.11041610008158825,0.04052216480826761,2318,0.3682349741637204,0.26217024748436224
86,HIMACHAL PRADESH,Rural,60+,2.5358946565492424e-05,340,0.5,68,0.07352941176470588,0.026470588235294117,516,0.35294117647058826,0.40588235294117647
87,HIMACHAL PRADESH,Rural,Age not stated,1.8646284239332666e-07,3,0.4,0,0.0,0.0,4,0.4,0.4
88,HIMACHAL PRADESH,Rural,0-14,0.00019612161762930098,2860,0.4561703745959308,92,0.008176459402928313,0.009317360714964822,4817,0.4989541737972999,0.416999429549344
89,HIMACHAL PRADESH,Rural,15-59,0.0006234198672578484,9355,0.44039002213315787,7302,0.3059759526230783,0.130824908775498,4371,0.11222109230125023,0.14924926721301668
90,HIMACHAL PRADESH,Rural,60+,0.00015625586192560774,2173,0.48138424821002385,1085,0.17494033412887827,0.08400954653937948,2065,0.22768496420047732,0.26515513126491647
91,HIMACHAL PRADESH,Rural,Age not stated,3.2071608891652187e-06,42,0.5116279069767442,16,0.11627906976744186,0.06976744186046512,56,0.3023255813953488,0.3488372093023256
92,HIMACHAL PRADESH,Rural,0-14,0.00010195788222067101,1586,0.4198975859546452,24,0.005120702267739576,0.0036576444769568397,2639,0.5632772494513534,0.4019751280175567
93,HIMACHAL PRADESH,Rural,15-59,0.00026749959369746644,4261,0.4059668200195176,1273,0.12337933918862401,0.05409173288721595,4785,0.38575212602816117,0.28133277568660253
94,HIMACHAL PRADESH,Rural,60+,0.00028140972174000857,3551,0.5294195600318049,649,0.058043996819507025,0.027961834084283065,5993,0.34773389875430694,0.4464617015637424
95,HIMACHAL PRADESH,Rural,Age not stated,5.5938852717998e-07,10,0.3333333333333333,3,0.2,0.0,11,0.4,0.3333333333333333
96,HIMACHAL PRADESH,Urban,0-14,1.0889429995770276e-05,173,0.4075342465753425,5,0.017123287671232876,0.0,285,0.571917808219178,0.4041095890410959
97,HIMACHAL PRADESH,Urban,15-59,4.4228986215697084e-05,697,0.4123102866779089,532,0.35413153456998314,0.09443507588532883,554,0.17622259696458684,0.290893760539629
98,HIMACHAL PRADESH,Urban,60+,1.7005411226271392e-05,220,0.5175438596491229,61,0.09868421052631579,0.03508771929824561,372,0.3508771929824561,0.4649122807017544
99,HIMACHAL PRADESH,Urban,Age not stated,7.458513695733066e-08,1,0.5,1,0.5,0.0,1,0.0,0.5
100,HIMACHAL PRADESH,Urban,0-14,1.7527507184972707e-05,251,0.46595744680851064,9,0.010638297872340425,0.00851063829787234,455,0.5170212765957447,0.451063829787234
101,HIMACHAL PRADESH,Urban,15-59,6.429238805721904e-05,1051,0.39037122969837584,934,0.4657772621809745,0.0759860788863109,724,0.11890951276102088,0.30104408352668216
102,HIMACHAL PRADESH,Urban,60+,2.1070301190445912e-05,286,0.49380530973451325,82,0.12212389380530973,0.023008849557522124,455,0.34690265486725663,0.4584070796460177
103,HIMACHAL PRADESH,Urban,Age not stated,7.458513695733066e-08,2,0.0,1,0.5,0.0,1,0.5,0.0
104,HIMACHAL PRADESH,Urban,0-14,5.817640682671792e-06,67,0.5705128205128205,1,0.00641025641025641,0.0,155,0.4230769230769231,0.5705128205128205
105,HIMACHAL PRADESH,Urban,15-59,1.8608991670854e-05,297,0.40480961923847697,187,0.3306613226452906,0.04408817635270541,286,0.23246492985971945,0.3406813627254509
106,HIMACHAL PRADESH,Urban,60+,2.7969426358998997e-06,52,0.30666666666666664,11,0.13333333333333333,0.013333333333333334,60,0.5466666666666666,0.25333333333333335
107,HIMACHAL PRADESH,Urban,Age not stated,0.0,0,,0,,,0,,
108,HIMACHAL PRADESH,Urban,0-14,5.2209595870131465e-06,88,0.37142857142857144,0,0.0,0.0,139,0.6214285714285714,0.37142857142857144
109,HIMACHAL PRADESH,Urban,15-59,5.0755185699463515e-05,903,0.33651726671565024,662,0.39603232916972814,0.09037472446730345,610,0.21528288023512124,0.23291697281410728
110,HIMACHAL PRADESH,Urban,60+,2.315868502525117e-05,316,0.49114331723027377,62,0.09339774557165861,0.00644122383252818,547,0.3961352657004831,0.48470209339774556
111,HIMACHAL PRADESH,Urban,Age not stated,3.729256847866533e-08,0,1.0,0,0.0,0.0,1,0.0,1.0
